,0
"('800.1',)",26452.13157696311
"('800.2',)",11889.63352995118
"('800.3',)",11889.63352995118
"('802.1',)",8519.897978388646
"('802.2',)",9644.954602316606
"('802.3',)",9644.954602316606
"('806.1',)",6657.418524990353
"('806.2',)",6657.418524990353
"('806.3',)",3485.068500175487
"('808.1',)",2.6717106150345258e-11
"('808.2',)",2.937694200321213e-11
"('808.3',)",2.937694200321213e-11
"('810.2',)",2.8773652592603063e-11
"('812.1',)",2.8773652592603063e-11
"('812.2',)",1.1395390131924017e-11
"('812.3',)",1.1459048419708061e-11
"('814.1',)",1.1459048419708061e-11
"('814.2',)",9.68627132916275e-12
"('814.3',)",9.68627132916275e-12
"('814r.1',)",9.202168807811142e-12
"('814r.2',)",9.202168807811142e-12
"('814r.3',)",7.491876059085794e-12
"('850.1',)",7.491876059085794e-12
"('850.2',)",7.299221644040952e-12
"('850.3',)",7.299221644040952e-12
"('816.1',)",5.259009559821356e-12
"('816.2',)",5.259009559821356e-12
"('816.3',)",5.054932110975281e-12
"('818.1',)",5.054932110975281e-12
"('824.1',)",5.00616051104311e-12
"('824.2',)",5.00616051104311e-12
"('824.3',)",4.38910170404533e-12
"('820.1',)",4.38910170404533e-12
"('822.1',)",4.365587313670229e-12
"('826.2',)",3.8631734437901475e-12
"('828.1',)",3.8631734437901475e-12
"('828.2',)",3.903188793586925e-12
"('828.3',)",3.903188793586925e-12
"('830.1',)",3.772070089677926e-12
"('830.2',)",3.772070089677926e-12
"('830.3',)",3.600766432322402e-12
"('854.1',)",3.600766432322402e-12
"('854.2',)",3.508831881855914e-12
"('854.3',)",3.508831881855914e-12
"('832.1',)",2.959083724674154e-12
"('832.2',)",2.959083724674154e-12
"('832.3',)",2.4440099436586664e-12
"('858.1',)",2.759100094732088e-12
"('858.2',)",2.759100094732088e-12
"('858.3',)",2.674026037620724e-12
"('834.1',)",2.674026037620724e-12
"('834.2',)",2.6602148159101724e-12
"('834.3',)",2.6602148159101724e-12
"('860.1',)",2.4808684522283705e-12
"('860.2',)",2.4808684522283705e-12
"('860.3',)",2.4395560043768076e-12
"('842.1',)",2.309428580377852e-12
"('842.2',)",2.309428580377852e-12
"('842.3',)",2.0430167412952768e-12
"('836.1',)",2.2014567214532554e-12
"('836.2',)",2.2014567214532554e-12
"('836.3',)",2.113609671831579e-12
"('840.1',)",2.113609671831579e-12
"('840.2',)",2.076035477258474e-12
"('840.3',)",2.076035477258474e-12
"('862.1',)",1.886958100465528e-12
"('862.2',)",1.886958100465528e-12
"('862.3',)",1.890468738032104e-12
"('844.1',)",1.840595709420374e-12
"('844.2',)",1.840595709420374e-12
"('844.3',)",1.5991423059581881e-12
"('846.1',)",1.5856458009712415e-12
"('846.2',)",1.2601247381452108e-12
"('846.3',)",1.2601247381452108e-12
"('848.1',)",1.217198021996232e-12
"('848.2',)",1.217198021996232e-12
"('848.3',)",1.3443714738354518e-12
"('852r.1',)",1.3443714738354518e-12
"('852r.2',)",1.0222428566012263e-12
"('852r.3',)",1.000776814484982e-12
"('888.1',)",1.000776814484982e-12
"('888.2',)",9.884074109046896e-13
"('888.3',)",9.884074109046896e-13
"('856.2',)",9.159509200353032e-13
"('852.1',)",9.159509200353032e-13
"('852.2',)",5.430295782683581e-13
"('852.3',)",1.7969485600291048e-13
"('864.1',)",1.7969485600291048e-13
"('838.2',)",4.2662092043559267e-13
"('890.1',)",4.2662092043559267e-13
"('890.2',)",3.8733046484976505e-13
"('890.3',)",3.8733046484976505e-13
