,0
"('800.1',)",27488.340292115943
"('800.2',)",27488.340292115943
"('800.3',)",10900.593114433894
"('802.1',)",10589.615176546145
"('802.2',)",10589.615176546145
"('802.3',)",13175.439773209124
"('806.1',)",10216.799511025567
"('806.2',)",4355.836529824453
"('806.3',)",4141.727136351548
"('808.1',)",1412.4388925136468
"('808.2',)",91.22764453537
"('808.3',)",91.22764453537
"('810.2',)",34.55922255532986
"('812.1',)",44.70202145383144
"('812.2',)",37.85936103368376
"('812.3',)",27.438725092982285
"('814.1',)",27.438725092982285
"('814.2',)",25.78377589744268
"('814.3',)",25.78377589744268
"('814r.1',)",10.259752340374906
"('814r.2',)",8.783980585718567
"('814r.3',)",5.870656372562156
"('850.1',)",5.870656372562156
"('850.2',)",4.594126079809238
"('850.3',)",4.594126079809238
"('816.1',)",4.96037036186713
"('816.2',)",4.96037036186713
"('816.3',)",3.6240573416384696
"('818.1',)",3.6240573416384696
"('824.1',)",2.507720399754808
"('824.2',)",2.507720399754808
"('824.3',)",2.7033983465794624
"('820.1',)",1.9647801198620993
"('822.1',)",1.488020977710435
"('826.2',)",1.4011006121738558
"('828.1',)",1.4011006121738558
"('828.2',)",0.8241386416233093
"('828.3',)",0.8241386416233093
"('830.1',)",0.47828992729796227
"('830.2',)",0.7850883295260848
"('830.3',)",0.6450593647242
"('854.1',)",0.5057669485565622
"('854.2',)",0.5057669485565622
"('854.3',)",0.5494131386606499
"('832.1',)",0.5494131386606499
"('832.2',)",0.3579644519680986
"('832.3',)",0.3579644519680986
"('858.1',)",0.371981761390593
"('858.2',)",0.24724241464326246
"('858.3',)",0.24724241464326246
"('834.1',)",0.22520987321292732
"('834.2',)",0.22520987321292732
"('834.3',)",0.10031034984604803
"('860.1',)",0.22029161070936043
"('860.2',)",0.1914792104835802
"('860.3',)",0.1914792104835802
"('842.1',)",0.19502084041020668
"('842.2',)",0.18038557360878255
"('842.3',)",0.14867582899041876
"('836.1',)",0.14867582899041876
"('836.2',)",0.06508506300177005
"('836.3',)",0.08783193361600417
"('840.1',)",0.08783193361600417
"('840.2',)",0.019677749017079797
"('840.3',)",0.07023725232310245
"('862.1',)",0.07023725232310245
"('862.2',)",0.08245805193811526
"('862.3',)",0.08245805193811526
"('844.1',)",0.08335489257352878
"('844.2',)",0.08252751424587292
"('844.3',)",0.0412104906486667
"('846.1',)",0.0412104906486667
"('846.2',)",0.05196851295800975
"('846.3',)",0.004218461229497296
"('848.1',)",0.006202433326373243
"('848.2',)",0.025627717544083252
"('848.3',)",0.029529338538901353
"('852r.1',)",0.042702232453369404
"('852r.2',)",0.042702232453369404
"('852r.3',)",0.04206344172713607
"('888.1',)",0.04206344172713607
"('888.2',)",2.7102818776308705e-05
"('888.3',)",0.04063131229162942
"('856.2',)",0.04063131229162942
"('852.1',)",0.03938120092646903
"('852.2',)",0.0009963514467823116
"('852.3',)",0.001577904840344706
"('864.1',)",0.001577904840344706
"('838.2',)",0.0017270396113688773
"('890.1',)",0.0017270396113688773
"('890.2',)",0.001582021843814689
"('890.3',)",0.0015849601364849018
